PRO_COM,SEZ,P1,SHAPE_Area
55032,400,125,6030.74573358
55032,130,47,3005.01705026
55032,169,38,1837.57146792
55032,226,24,7908.2247613
55032,756,176,150133.725303
55032,708,405,547676.048235
55032,433,767,65869.6624838
55032,621,354,68646.6891115
55032,257,216,11980.9706773
55032,137,157,9363.12873101
55032,133,24,5561.17477406
55032,23,176,8190.20705052
55032,30,58,4110.67055304
55032,392,35,4258.51387538
55032,375,18,125280.13444
55032,602,464,202718.364366
55032,652,391,52238.6240203
55032,635,21,7350.48739865
55032,555,25,22907.092571
55032,657,477,65903.228769
55032,515,817,254659.265178
55032,121,79,10555.3618618
55032,183,158,7372.09370313
55032,65,552,32678.5300258
55032,710,28,11390.8109056
55032,68,328,39324.7476318
55032,717,199,93704.7965343
55032,115,22,2165.00646834
55032,355,26,4007.11142629
55032,111,27,1582.76179837
55032,443,15,29024.3628132
55032,519,220,23287.9761548
55032,547,16,24005.8241117
55032,386,472,271562.819442
55032,366,34,5346.53246002
55032,69,434,37421.0724082
55032,432,189,19437.7897695
55032,522,330,153007.637077
55032,523,243,41223.4135844
55032,160,72,27891.2624591
55032,493,8,5377.20543944
55032,236,48,8721.88445698
55032,221,217,14806.6910892
55032,101,138,12599.0676361
55032,661,126,27515.1668576
55032,206,139,6420.27604401
55032,38,29,1602.22581566
55032,345,12,2205.79272858
55032,322,428,18684.4268245
55032,187,107,5947.30067141
55032,3,66,3633.10466371
55032,161,191,6838.36952228
55032,343,38,2252.07655921
55032,363,149,5110.78624091
55032,318,110,5619.97952365
55032,100,27,5137.65993447
55032,237,64,10916.8110062
55032,643,175,13462.8714472
55032,415,45,4939.41468189
55032,210,96,6873.53996381
55032,136,93,7893.85516346
55032,233,104,9572.19270476
55032,580,430,335298.694254
55032,46,106,4406.00598893
55032,106,74,1791.53719479
55032,500,47,84145.9563507
55032,407,26,9690.34231615
55032,56,159,5688.90229072
55032,620,74,22294.9538028
55032,393,54,11671.6463925
55032,702,98,32961.4534214
55032,679,100,206041.165826
55032,227,242,16742.7898584
55032,532,76,12439.2728463
55032,76,129,13916.1097666
55032,762,382,149047.602608
55032,74,186,28397.2257556
55032,329,751,44722.951679
55032,638,52,21270.7796858
55032,570,228,140999.813416
55032,785,130,182540.876262
55032,67,72,4998.98679177
55032,517,269,62990.9327461
55032,476,45,34004.16769200001
55032,704,121,72911.309409
55032,753,390,85726.969155
55032,344,19,2508.12162437
55032,497,201,47616.3027689
55032,356,38,5328.9462067
55032,471,288,93878.2746961
55032,527,433,46269.2084464
55032,568,192,88024.6319969
55032,113,60,2338.5022021
55032,96,104,3072.85748917
55032,18,102,3834.81765392
55032,79,106,3723.82860455
55032,43,70,2529.24116283
55032,12,95,6363.33723576
55032,19,32,1962.74430221
55032,99,67,2670.79477415
55032,217,139,5942.23684151
55032,426,153,14961.3639788
55032,129,30,2333.70136473
55032,53,71,3694.00659943
55032,216,149,7793.63424478
55032,654,631,97127.4533684
55032,439,526,94796.7476045
55032,487,25,20902.4217361
55032,312,104,13637.0120036
55032,274,122,74637.0605576
55032,293,48,4054.11906613
55032,617,988,288464.729134
55032,191,113,3828.51084255
55032,28,78,4793.6532509
55032,330,77,7774.95628708
55032,63,106,10895.6726068
55032,463,516,58609.1166598
55032,461,268,72911.722211
55032,2,75,4112.84436843
55032,479,110,17006.0033583
55032,37,40,1882.82851289
55032,204,207,10131.0336855
55032,214,117,6698.70138121
55032,481,193,18283.601215399998
55032,220,108,11722.2679808
55032,195,64,5749.6360818
55032,36,83,5467.66261042
55032,199,164,10415.8185233
55032,231,122,16379.5050761
55032,140,34,2410.52040839
55032,88,124,4412.82474006
55032,149,19,1319.50824432
55032,35,86,2024.96609888
55032,47,114,3522.6513783
55032,156,79,4846.55254721
55032,298,118,3724.40679392
55032,625,521,84313.5932103
55032,321,126,9740.47814984
55032,726,42,8023.12906547
55032,163,183,9912.55574424
55032,582,332,63899.192419
55032,413,47,6677.2022104
55032,143,127,7868.55078585
55032,91,62,3165.01223048
55032,218,180,5442.05706618
55032,313,177,13189.8614419
55032,425,213,19592.1737551
55032,341,23,2611.96537791
55032,141,20,1075.76289715
55032,252,104,7663.19177359
55032,86,245,13485.9387435
55032,281,405,16956.1332344
55032,279,7,2730.44713288
55032,285,30,11155.5142761
55032,428,386,60386.0763057
55032,488,77,94183.9963508
55032,412,10,15348.334214
55032,116,37,2389.20315741
55032,786,43,37159.8747613
55032,267,480,32076.7131024
55032,775,125,361288.459787
55032,277,186,27709.1104959
55032,395,270,36459.9579085
55032,792,40,328288.65838
55032,518,217,21628.7856217
55032,483,280,35000.1251076
55032,701,31,30847.0425737
55032,255,197,9727.21846829
55032,691,20,9697.56535642
55032,790,20,16657.0309586
55032,511,24,28447.432941
55032,695,34,37750.1202049
55032,807,12,16112.3418289
55032,455,436,46184.574573
55032,48,110,4330.96389128
55032,615,1369,340128.288574
55032,778,32,627351.522333
55032,478,115,16955.8035383
55032,611,467,161454.279069
55032,347,21,2118.55680055
55032,246,133,80256.5581142
55032,66,39,3934.97324795
55032,504,21,18137.8633924
55032,385,42,88233.4525184
55032,456,252,63650.5087677
55032,739,441,151255.821693
55032,477,42,16419.0973906
55032,735,3,5647.81478407
55032,715,96,1473863.2963
55032,70,10,19094.7214647
55032,260,65,194987.441891
55032,8,6,1696.14726934
55032,291,766,51892.0530461
55032,520,226,33867.6837094
55032,361,235,31805.7576046
55032,109,129,8989.0204140500009
55032,610,398,60313.1390565
55032,632,6,3880.29295909
55032,269,333,43006.5033252
55032,282,230,28299.9059736
55032,670,15,15370.7587403
55032,409,147,28642.7834736
55032,641,26,9194.69373373
55032,84,58,4178.54583094
55032,138,157,14194.2814686
55032,754,104,99926.6243798
55032,720,31,10370.428566
55032,697,25,35854.9131519
55032,300,481,17438.0365532
55032,747,90,8767.6390761
55032,750,44,13559.2599674
55032,406,77,13651.3352998
55032,767,145,92522.1491989
55032,694,90,74434.2749151
55032,178,123,9201.1994897
55032,326,16,95535.1059085
55032,283,130,47723.1542883
55032,705,291,137591.032083
55032,460,417,66422.4401001
55032,467,551,162510.356028
55032,606,37,19275.1512788
55032,389,263,131952.135679
55032,628,150,74090.06371050002
55032,613,814,438955.239851
55032,557,20,6433.17296709
55032,656,498,54240.8128776
55032,482,249,34355.5273477
55032,797,43,30021.3312731
55032,397,38,8210.82321979
55032,667,166,72928.2027509
55032,292,90,3509.8843648
55032,358,9,4341.38512751
55032,459,62,126993.136011
55032,566,438,142190.183219
55032,751,182,124673.694681
55032,616,237,294175.315525
55032,379,21,114193.018205
55032,427,98,11871.3529507
55032,472,239,64722.9874307
55032,690,61,50037.5803394
55032,445,19,44331.4189002
55032,798,59,50837.6621729
55032,631,7,4417.80473225
55032,776,27,304634.251298
55032,51,169,17060.9771357
55032,530,14,25395.7517886
55032,309,336,28073.6318981
55032,410,199,28662.227962
55032,492,10,18368.9996969
55032,574,13,7901.51624952
55032,259,2,239388.311505
55032,390,200,19544.5468104
55032,665,275,129399.898314
55032,270,216,22811.3252577
55032,401,107,9342.62359762
55032,338,2,3412.74985998
55032,564,416,109656.925186
55032,499,20,49906.4250289
55032,545,6,17091.3416139
55032,541,6,22129.2147197
55032,693,27,23687.5456597
55032,543,29,28987.9349691
55032,549,39,37641.9281509
55032,536,21,11109.5639685
55032,148,217,11837.3079199
55032,719,38,9425.36582323
55032,177,46,7243.82758634
55032,222,83,11211.5273099
55032,54,135,6865.9685222
55032,367,95,8252.93524928
55032,45,111,7274.34643452
55032,197,168,8526.96512008
55032,10,53,5075.94857316
55032,60,333,8754.08023373
55032,39,20,2005.20661042
55032,627,505,100882.077827
55032,166,48,3890.75626831
55032,795,117,35138.9847508
55032,528,92,9330.04011376
55032,748,50,53257.0211636
55032,663,248,64847.7764156
55032,569,158,48581.8095588
55032,146,4,2077.0939934
55032,276,38,5096.63281083
55032,57,154,8236.72610032
55032,364,98,11341.4184208
55032,394,59,7801.36479605
55032,372,269,16623.1609748
55032,640,60,17240.9752335
55032,229,84,8525.37122053
55032,507,41,98211.2109806
55032,800,35,48121.6673398
55032,513,15,21307.5799298
55032,810,40,37068.67192410001
55032,280,195,16177.9246895
55032,352,107,12360.6147299
55032,648,102,6354.65780855
55032,317,29,5398.79315468
55032,346,23,2935.00225474
55032,34,18,9426.42152478
55032,868,411,63641.6440936
55032,524,81,37470.7393821
55032,770,28,46785.8579759
55032,22,123,6525.14833344
55032,242,94,9197.73729689
55032,429,317,35698.5353397
55032,357,26,7341.9901369
55032,102,15,5133.58130173
55032,525,574,41449.3583809
55032,297,121,3514.49066872
55032,723,24,4705.50214572
55032,480,34,13950.1025473
55032,80,188,10228.6794041
55032,760,54,69300.4483399
55032,508,183,196273.823625
55032,24,47,4347.64260531
55032,82,113,3540.79841338
55032,649,323,42866.1051849
55032,31,19,3367.33258293
55032,403,267,33034.1115471
55032,354,14,5446.96776928
55032,540,35,28891.454601
55032,155,68,5394.7702517
55032,40,186,13532.3083518
55032,212,93,6212.9887284
55032,182,84,4551.84186121
55032,727,40,7376.7216708
55032,94,27,1927.36740932
55032,333,12,1429.60042514
55032,417,53,8866.17754262
55032,208,167,5977.29228742
55032,165,166,6946.21793504
55032,105,82,7108.40030291
55032,215,74,12607.6811824
55032,335,14,2825.15839454
55032,44,73,6324.19470681
55032,404,300,32093.7016249
55032,7,13,1640.16393024
55032,5,93,2911.035265
55032,93,70,3256.17755072
55032,626,551,39170.1463427
55032,13,54,1882.70473474
55032,235,193,25164.8454306
55032,170,109,4392.26076494
55032,62,114,5561.91318707
55032,95,55,1499.82093002
55032,289,69,6882.16058131
55032,340,29,2337.5193182
55032,629,662,69574.80108970002
55032,159,50,3308.55523018
55032,209,92,5351.74963462
55032,623,93,19141.7629462
55032,9,67,5068.65010546
55032,15,93,5924.39949843
55032,228,203,26772.4067754
55032,349,186,5000.4800748
55032,315,496,35564.1037251
55032,334,39,3838.59870667
55032,316,38,5176.72610023
55032,408,105,23166.8716865
55032,158,35,4583.56481197
55032,198,242,7510.20731522
55032,365,244,9367.01893226
55032,112,32,2104.45099335
55032,145,6,1945.58242589
55032,659,210,57648.0701585
55032,878,188,84337.8745928
55032,761,247,986942.095897
55032,258,104,41499.3384259
55032,713,726,383856.815832
55032,147,83,3282.63628713
55032,108,212,13423.7369574
55032,75,7,346924.819373
55032,601,276,176630.140664
55032,370,16,1705.73581539
55032,369,58,4322.06533139
55032,766,122,111460.680869
55032,301,360,14081.8780949
55032,64,103,7721.66609993
55032,290,32,4072.53989993
55032,278,73,20215.2141757
55032,622,198,23621.093201
55032,304,43,3625.7626241
55032,440,601,161399.898812
55032,261,21,137264.58108
55032,571,240,152521.63456
55032,681,213,314822.694846
55032,262,297,216916.225781
55032,154,45,2907.56968474
55032,596,13,32467.4465291
55032,466,178,112311.026513
55032,249,31,6346.6180655
55032,107,118,7500.56832723
55032,498,283,70108.1335178
55032,114,55,4067.38876732
55032,264,639,54826.2195101
55032,135,68,6177.23674534
55032,117,36,4811.5888674
55032,636,50,8344.71239936
55032,311,538,18273.981531
55032,585,185,65284.7175067
55032,353,12,2904.21491192
55032,351,63,10506.4220913
55032,184,132,6350.51973914
55032,275,57,9753.31278938
55032,586,23,39483.9234324
55032,374,859,45726.6924315
55032,801,22,20922.3234772
55032,757,429,178073.655367
55032,324,161,13900.1122964
55032,604,99,35041.9021443
55032,769,64,14413.796973
55032,103,106,13240.8790077
55032,359,30,14883.9986768
55032,551,64,39799.7657904
55032,303,131,6598.97080825
55032,253,874,42834.1049241
55032,597,16,5653.14734739
55032,431,140,52586.2956226
55032,444,14,35562.8637262
55032,811,20,238075.461845
55032,81,290,17131.677382
55032,451,40,34379.8677716
55032,418,95,72766.12160300002
55032,193,32,5063.14729086
55032,134,120,6451.94493563
55032,672,511,503042.343945
55032,674,98,103989.729063
55032,302,371,25682.0172773
55032,399,396,54255.9434535
55032,241,208,32830.8244688
55032,491,44,10857.0819149
55032,655,338,25239.3984951
55032,435,181,37343.9516325
55032,619,514,50194.8657272
55032,377,27,4353.89475979
55032,92,92,4939.92398549
55032,55,67,6792.56520982
55032,230,123,8860.50853744
55032,660,90,14004.5670411
55032,308,37,10035.0095087
55032,594,267,124957.189182
55032,562,221,91163.2564885
55032,457,158,73587.5977591
55032,489,32,23553.2548329
55032,383,29,14789.2019341
55032,578,15,38995.4908629
55032,179,63,5502.97502851
55032,423,207,97468.8307424
55032,307,12,2735.56313589
55032,26,4,6328.90874065
55032,856,592,35766.17727990001
55032,328,218,52720.1834785
55032,624,695,96957.9545848
55032,181,92,2879.22903191
55032,295,122,8523.89016858
55032,299,88,2682.68507797
55032,664,611,45059.0701682
55032,144,24,1649.83017912
55032,414,40,7169.67967034
55032,186,129,5656.57104877
55032,211,95,7035.48581183
55032,362,53,2761.28044625
55032,167,4,14144.2573048
55032,196,70,3988.9226041
55032,139,39,1555.87323155
55032,240,189,10772.2588697
55032,223,161,19315.9549039
55032,61,412,17527.5433455
55032,416,27,4835.92116716
55032,152,77,7417.35777506
55032,90,44,2411.96806455
55032,339,6,1085.65990267
55032,16,103,5517.45190337
55032,593,109,40114.7801199
55032,256,346,17294.1248162
55032,758,130,114350.43766
55032,388,767,91956.4739514
55032,248,150,181262.299244
55032,172,146,9491.12985957
55032,203,58,9934.13316124
55032,142,14,1508.05855446
55032,98,39,1842.670419
55032,296,72,3396.3801831
55032,319,163,8097.82904246
55032,21,50,6299.4509482
55032,97,122,4898.64321032
55032,219,154,8535.16286025
55032,411,464,39574.9969851
55032,27,12,2874.75631854
55032,630,31,15583.9707627
55032,104,62,1733.40407886
55032,173,199,5634.81717373
55032,243,52,5341.53265938
55032,336,54,4549.21439343
55032,724,25,3267.56464085
55032,162,58,6624.69215506
55032,662,232,45985.3761572
55032,194,41,2149.71143807
55032,516,463,54829.0881157
55032,565,298,49294.6844276
55032,131,135,8971.37760555
55032,73,276,209253.137616
55032,650,358,42875.3713895
55032,821,35,5794524.99477
55032,822,43,10084346.8218
55032,823,71,2121736.7908
55032,824,61,4776326.29827
55032,826,33,4004526.20569
55032,827,124,6489728.11103
55032,828,48,8545374.97521
55032,829,19,6018827.710289999
55032,830,102,7083766.43947
55032,831,6,4268760.82405
55032,833,23,5559982.63752
55032,834,33,5768276.93435
55032,839,38,1111779.39694
55032,842,246,4163761.08757
55032,843,30,2966184.38766
55032,844,86,3894480.75911
55032,845,1039,4606114.149
55032,846,409,3158086.84391
55032,847,297,3672457.73636
55032,859,67,741123.963838
55032,820,28,5898458.530650001
55032,832,79,8600408.71697
55032,835,20,3841596.96651
55032,836,414,5017146.30183
55032,837,442,3583690.87597
55032,840,359,5182038.79651
55032,841,379,2078741.89203
55032,857,39,359093.562492
55032,825,329,3765142.38962
55032,858,146,1619740.75218
55032,853,219,2240327.47362
55032,854,362,4450323.92012
55032,850,296,2757985.13235
55032,851,32,1843230.94517
55032,852,557,5493674.75441
55032,860,92,918528.328192
55032,862,146,2025672.10662
55032,192,106,4946.3402218
55032,396,221,34532.97383480001
55032,180,91,3946.56708934
55032,653,458,48039.8321778
55032,755,40,54741.6409743
55032,722,22,9226.07326464
55032,29,127,6590.48716956
55032,494,67,48930.6259195
55032,125,35,6730.79924066
55032,438,234,28677.0392133
55032,645,95,17898.0093357
55032,647,64,3298.88082629
55032,763,109,120992.980426
55032,52,64,6167.66942531
55032,718,251,421134.51456
55032,305,71,3973.3594603
55032,855,837,51197.3248399
55032,271,257,28217.4370997
55032,686,85,62879.6728733
55032,284,197,23581.1832814
55032,437,302,60376.3790489
55032,120,67,46060.2029187
55032,273,364,165686.33222
55032,127,103,11336.4656725
55032,728,61,6428.09541252
55032,642,37,8077.43122865
55032,268,159,16645.573215
55032,368,72,3586.86257068
55032,174,11,4346.55927821
55032,122,50,7991.64929855
55032,780,30,46544.8973214
55032,678,570,470708.725079
55032,331,24,4016.19916151
55032,391,157,16107.7184587
55032,721,24,9252.09404822
55032,89,102,18815.657602
55032,59,260,40246.2654345
55032,485,192,56551.5891279
55032,265,36,45251.0490204
55032,618,124,120598.976086
55032,33,245,22086.4836776
55032,254,174,12663.1678076
55032,749,187,96908.9420777
55032,151,38,3213.95663659
55032,286,14,15552.0511223
55032,348,13,1192.93049546
55032,803,32,19236.8910432
55032,458,68,93359.2650976
55032,200,118,10053.6741777
55032,17,180,3826.88284769
55032,239,53,6050.09379496
55032,6,28,4118.6276976
55032,484,346,56985.4717751
55032,668,446,258704.907983
55032,729,28,5607.34034673
55032,633,25,8485.72333863
55032,502,147,53136.2767728
55032,730,110,81183.2792649
55032,462,384,23013.7520619
55032,213,118,7759.69002827
55032,4,93,3910.66676806
55032,725,44,6472.5859545
55032,325,272,105547.298379
55032,50,42,58331.5638185
55032,553,13,28795.1453842
55032,153,64,3276.25622292
55032,424,276,34100.0979535
55032,360,40,5233.85724011
55032,189,99,5324.99416389
55032,402,195,34103.10494740001
55032,263,82,187756.308145
55032,266,821,64576.6763662
55032,168,69,3737.8209662
55032,332,30,5475.91166584
55032,83,253,6004.68175514
55032,337,31,4738.0373624
55032,812,85,34259.3758153
55032,288,272,17641.2393402
55032,378,31,170870.481289
55032,342,14,2231.63391393
55032,87,406,23563.2741389
55032,78,106,5931.40878245
55032,651,58,3788.83296618
55032,164,27,4431.04376558
55032,714,390,53367.4491114
55032,373,436,36231.5958413
55032,793,31,126199.830446
55032,573,131,22054.0402289
55032,534,16,16931.464574
55032,813,23,13467.3981814
55032,591,55,20235.716679
55032,207,96,5994.96100278
55032,608,83,33295.16908520001
55032,709,285,45912.574971
55032,250,88,24826.458511
55032,85,131,67554.4253773
55032,1,69,4906.59467999
55032,287,34,8148.65228149
55032,123,391,62837.8184891
55032,436,83,22460.0162556
55032,251,44,49306.2669712
55032,529,97,70845.78745800002
55032,744,86,116385.673478
55032,419,15,55183.1338332
55032,576,41,34035.63013450001
55032,639,58,18119.4058633
55032,421,75,21016.5870921
55032,238,44,10278.108773
55032,634,14,7913.63857199
55032,671,149,31003.7882205
55032,150,21,1618.34974735
55032,244,155,6950.69979268
55032,658,480,60354.3994899
55032,405,129,27910.2214076
55032,310,545,25332.6038024
55032,454,22,39248.7573539
55032,521,282,31228.2536449
55032,224,71,11633.1925735
55032,430,146,12535.8122887
55032,41,71,5264.0831076
55032,188,102,3784.36306717
55032,49,18,2361.43067867
55032,382,78,21606.4973341
55032,398,291,46582.2241323
55032,306,33,5547.8362759
55032,741,166,23864.1420629
55032,118,31,2379.00695138
55032,350,38,5233.0070062
55032,234,98,10819.0263792
55032,434,13,171958.176593
55032,132,65,3221.18040822
55032,422,15,8859.33766215
55032,646,20,4807.91758774
55032,20,20,5116.58517295
55032,294,368,26547.3004672
55032,861,26,377948.911716
55032,384,50,251518.871971
55032,190,13,1939.36662775
55032,42,58,5390.30237009
55032,526,257,39159.3245224
55032,538,20,28304.5516441
55032,637,41,14052.3656829
55032,32,80,3424.59082607
55032,232,158,11792.8344361
55032,314,163,8720.31548137
55032,126,157,10880.5489701
55032,272,26,160665.925535
55032,157,157,7029.28958966
55032,644,124,11610.993559
55032,320,164,12422.6974411
55032,205,223,11709.7696852
55032,225,102,9879.58600572
55032,453,31,37649.1147674
55032,563,162,58223.6582777
55032,774,6,18188.9165071
55032,323,84,6435.67343488
55032,501,266,51158.3706782
55032,245,89,21532.7862324
55032,698,55,29869.5780769
55032,371,22,4580.10329836
55032,804,22,11413.5422161
55032,559,31,11753.1085447
