month_y,Season,data,associazione_ispra,t2m_min,t2m_max,t2m_mean,t2m_median,t2m_IQR,tmin2m_min,tmin2m_max,tmin2m_mean,tmin2m_median,tmin2m_IQR,tmax2m_min,tmax2m_max,tmax2m_mean,tmax2m_median,tmax2m_IQR,tp_min,tp_max,tp_mean,tp_median,tp_IQR,ptp_min,ptp_max,ptp_mean,ptp_median,ptp_IQR,rh_min,rh_max,rh_mean,rh_median,rh_IQR,u10m_min,u10m_max,u10m_mean,u10m_median,u10m_IQR,v10m_min,v10m_max,v10m_mean,v10m_median,v10m_IQR,wspeed_min,wspeed_max,wspeed_mean,wspeed_median,wspeed_IQR,wspeed_max_min,wspeed_max_max,wspeed_max_mean,wspeed_max_median,wspeed_max_IQR,pwspeed_min,pwspeed_max,pwspeed_mean,pwspeed_median,pwspeed_IQR,wdir_min,wdir_max,wdir_mean,wdir_median,wdir_IQR,sp_min,sp_max,sp_mean,sp_median,sp_IQR,nirradiance_min,nirradiance_max,nirradiance_mean,nirradiance_median,nirradiance_IQR,pbl00_min,pbl00_max,pbl00_mean,pbl00_median,pbl00_IQR,pbl12_min,pbl12_max,pbl12_mean,pbl12_median,pbl12_IQR,pblmin_min,pblmin_max,pblmin_mean,pblmin_median,pblmin_IQR,pblmax_min,pblmax_max,pblmax_mean,pblmax_median,pblmax_IQR
April_17,Summer,2017-04-01,apr-17,4.9,14.3,11.170967741935485,11.4,3.0500000000000007,-1.5,11.6,5.093548387096774,5.2,3.05,9.5,21.5,16.809677419354838,17.3,2.5500000000000007,0,12.6,1.835483870967742,0.2,1.15,0,12.6,1.7870967741935484,0.2,0.9,59.3,83.2,71.11612903225806,69.3,11.799999999999983,-1.1,0.3,-0.2064516129032258,-0.2,0.45,-2.5,3.3,0.2193548387096774,-0,1.8499999999999999,0,3.324154027718932,1.214711647390786,1,1.1708089038819933,1.26108210504593,7.13191474830167,3.0119276321753214,2.70147655431166,1.3776767768972298,0,3.324154027718932,1.1677627388893639,0.9486832980505138,1.005115352846572,8.130102354156008,333.434948822922,125.49858911539732,165.9637565320735,159.1113306078755,944.7,960.4,951.3935483870968,950.4,5.349999999999909,105.4,256.8,205.35806451612902,217.3,41.5,0.01,0.7,0.09096774193548388,0.03,0.035,0.89,2.23,1.502258064516129,1.45,0.32499999999999996,0.01,0.66,0.0467741935483871,0.02,0.019999999999999997,1.05,2.62,1.729032258064516,1.66,0.43999999999999995
August_17,Summer,2017-08-01,ago-17,18.5,31.4,25.360526315789475,25.5,5.649999999999995,13.9,24.1,18.76578947368421,18.85,4.900000000000002,21.5,38.4,31.76842105263158,32.1,6.625,0,6.3,0.5578947368421052,0,0.07500000000000001,0,6.3,0.5578947368421052,0,0.07500000000000001,29.6,78.9,49.01842105263158,47.75,16.07499999999999,-1,0.9,0.24210526315789474,0.3,0.275,-2,2.1,0.1868421052631579,0,1.1500000000000001,0.223606797749979,2.2847319317591728,0.9825055049394826,0.7671183818789533,0.9403328897956237,1.17111534784309,5.74985795611416,2.566597872843318,2.44471451355553,1.3002752835624554,0.223606797749979,2.2847319317591728,0.9980665615003476,0.7671183818789533,0.98933232056728,6.009005957494537,360,212.77944398921014,208.15496623701011,106.84337514444832,942.1,956.6,952.0657894736842,952.6,3.150000000000091,186.5,268.8,239.7657894736842,242.55,24.924999999999983,0.01,0.9,0.09263157894736843,0.035,0.030000000000000002,0.86,2.57,1.9218421052631578,1.93,0.4600000000000004,0.01,0.35,0.041578947368421056,0.02,0.017499999999999998,1.5,3.29,2.3815789473684212,2.435,0.6625000000000005
December_16,Winter,2016-11-01,nov-16,1.6,12,7.083333333333333,6.449999999999999,5.025000000000001,-2.6,9.5,3.1375,2.6500000000000004,3.675,4.1,17.3,11.958333333333334,11.95,2.4000000000000004,0,15.8,1.1041666666666667,0,0.1,0,15.8,1.125,0,0.125,67.2,96.9,84.72083333333333,86.65,5.550000000000011,-1.2,-0.3,-0.6791666666666667,-0.6499999999999999,0.20000000000000007,-2.3,1.7,-0.23333333333333334,-0.3,0.7750000000000001,0.4242640687119285,2.5942243542145693,0.9764909644921579,0.857316450618008,0.314159017605919,0.854988897214251,5.49270582130107,1.9763060779272377,1.6456943276797351,1.0263965371050348,0.4242640687119285,2.5942243542145693,0.9973023581356992,0.857316450618008,0.3363601697141103,19.98310652189997,160.55996517182382,77.2374716954546,63.434948822922024,58.20223654978691,946.1,968.5,956.2458333333334,954.7,8.374999999999886,25.1,87.7,66.775,69.65,17.400000000000006,0.01,0.49,0.04958333333333333,0.02,0.015000000000000003,0.19,1.14,0.5204166666666666,0.505,0.31,0.01,0.22,0.023333333333333334,0.01,0.01,0.26,1.15,0.6741666666666667,0.69,0.31750000000000006
December_17,Winter,2017-12-01,dic-17,-0.5,10.6,4.6365384615384615,4.35,4.074999999999999,-4,9.2,1.0442307692307693,0.9,4.45,4.1,16.6,8.715384615384615,8.75,2.5999999999999996,0,38.1,5.6461538461538465,0.7,7.1499999999999995,0,38.1,5.642307692307693,0.7,7.1499999999999995,68.2,98.1,86.9,87.85,11.149999999999991,-1.5,0.6,-0.4826923076923077,-0.5,0.425,-2,4.5,0.4269230769230769,0.45,2.0999999999999996,0.4123105625617661,4.5,1.3985283478813781,1.2041594578792296,0.8308653726804186,0.9719622532249,6.76831824165622,2.7056663982556075,2.287211063212065,1.6670963587779126,0.4123105625617661,4.5,1.4026600337379693,1.2041594578792296,0.8308653726804186,3.1798301198642775,255.96375653207352,106.73113166102438,123.46479387508765,126.47669200164694,928.1,967.9,951.1115384615384,951.2,9.599999999999909,9.1,89,55.37692307692308,57.85,37.225,0.01,1.23,0.195,0.06,0.17,0.09,1.32,0.6778846153846154,0.7,0.3274999999999999,0.01,0.75,0.06865384615384615,0.02,0.049999999999999996,0.24,1.45,0.8696153846153847,0.84,0.38
February_17,Winter,2017-02-01,feb-17,0.6,8.9,5.251612903225807,5.7,3.8000000000000003,-3.3,7.5,1.3419354838709678,1.7,4.449999999999999,7.2,12.8,10.174193548387096,10.3,2.049999999999999,0,19.1,1.7483870967741937,0.1,0.9,0,19.1,1.7451612903225806,0.1,0.9,68.8,97.6,84.40967741935484,85.2,9.400000000000006,-1.4,0.2,-0.5387096774193548,-0.6,0.29999999999999993,-1.5,2.5,0.022580645161290314,-0.4,0.85,0.1,2.5079872407968904,1.1184525223151622,0.9848857801796104,0.8208903880430892,1.12265688394167,5.79067372078083,2.3095539912356733,1.78066288354844,0.6722588580924698,0.1,2.5079872407968904,1.1335930072135236,1.0295630140987,0.8208903880430892,7.594643368591448,270,85.10038966135963,60.945395900922875,98.80824668061669,933.8,967.6,954.9612903225807,956.8,7.149999999999977,27.4,140.1,83.78387096774193,85.6,44.15,0.01,0.91,0.13129032258064516,0.04,0.08,0.18,1.07,0.627741935483871,0.6,0.4049999999999999,0.01,0.4,0.057741935483870965,0.02,0.045,0.34,1.47,0.8364516129032258,0.8,0.4750000000000002
February_18,Winter,2018-01-01,feb-18,0.7,7.9,4.7290322580645165,5.2,2.0000000000000004,-3.3,6.1,0.8580645161290323,1,3.3000000000000003,5.1,12.5,9.141935483870968,9.5,2.3500000000000014,0,25.6,2.9419354838709677,0.2,2.3,0,25.6,2.832258064516129,0.2,1.9,68.7,97.1,85.20322580645161,84.3,10.549999999999997,-1.2,0.2,-0.4096774193548387,-0.4,0.39999999999999997,-1.6,2.9,0.16451612903225807,0,1.15,0.223606797749979,2.9068883707497264,1.0478103312090135,0.8246211251235323,0.7297619914628446,1.24299404185476,4.02330372488658,2.222760833014813,2.13322277712372,1.2650029343562001,0.223606797749979,2.9068883707497264,1.089386956157545,0.8246211251235323,0.8467199478759138,3.814074834290352,360,108.52527384725532,111.80140948635182,101.29311704467185,935,967.6,951.0225806451613,949.2,13.049999999999955,24.5,131,81.36774193548388,85.6,33.400000000000006,0.01,0.8,0.11096774193548387,0.03,0.06999999999999999,0.37,1.24,0.6948387096774193,0.58,0.4600000000000001,0.01,0.57,0.059032258064516126,0.02,0.019999999999999997,0.56,1.4,0.9358064516129032,0.99,0.3700000000000001
January_17,Winter,2016-12-01,dic-16,-5.2,6.7,1.7592592592592593,1.7,4,-6.8,2.2,-2.077777777777778,-2.2,2.6,-2.8,13.4,6.714814814814815,7.1,6.249999999999999,0,16.3,0.9777777777777779,0,0.3,0,16.3,0.9407407407407408,0,0.1,60.9,95.3,78.25555555555556,77.9,11.25,-1.5,-0.2,-0.7074074074074074,-0.7,0.30000000000000004,-3.6,1.5,-0.7814814814814814,-0.6,0.8999999999999999,0.5099019513592785,3.710795063055895,1.342847148317599,1.0816653826391966,0.6863968789852597,0.915843801102293,5.75322262742083,2.4230939753320384,1.86582157434363,1.3574174152061746,0.5099019513592785,3.710795063055895,1.319945866193125,1.0816653826391966,0.5224558491802744,9.462322208025626,151.92751306414704,54.784550936158546,49.39870535499551,55.508757146147005,944.1,966.3,958.2407407407408,959.3,8.850000000000023,20.9,82.8,69.18518518518519,77,12.700000000000017,0.01,1.2,0.15333333333333335,0.05,0.08,0.12,1.87,0.5337037037037037,0.31,0.375,0.01,1.1,0.0737037037037037,0.03,0.034999999999999996,0.17,2.03,0.6651851851851852,0.52,0.42499999999999993
July_17,Summer,2017-06-01,giu-17,18.9,27,23.771052631578947,24.3,3.1249999999999964,13,20.5,17.402631578947368,17.95,3.1750000000000007,22.7,33.8,29.839473684210528,30.65,3.25,0,9.1,0.6815789473684211,0,0.2,0,9.1,0.6815789473684211,0,0.2,36.1,75.2,52.4,50.7,11.850000000000001,-1.1,0.8,0.19999999999999998,0.4,0.5499999999999999,-2.4,2.7,0.10789473684210527,0.15000000000000002,1.5250000000000004,0.31622776601683794,2.7202941017470885,1.194738292952478,0.9353188718899013,1.0559679190572004,1.13528911568036,5.48136398786276,2.6571553242216726,2.53489469482327,1.2942434691430322,0.31622776601683794,2.7202941017470885,1.1546107752384869,0.8910934862167756,1.0532543629215945,14.03624346792651,348.69006752597977,199.3563187473171,220.934948822922,77.16687461164577,943.6,956.1,952.1078947368421,952.7,3.675000000000068,107.6,286.1,260.61315789473684,263.05,25.30000000000001,0.01,0.6,0.09473684210526316,0.035,0.03749999999999999,0.86,2.37,1.8792105263157894,1.89,0.4500000000000002,0.01,0.31,0.04342105263157895,0.02,0.03,1.15,2.85,2.191578947368421,2.2649999999999997,0.45750000000000046
March_17,Winter,2017-03-01,mar-17,5.6,13,8.5,8.1,2.9000000000000004,-1.6,8.8,3.4935483870967743,3.9,3.6499999999999995,7.8,19.6,13.780645161290323,13.7,3.25,0,22,2.803225806451613,0.1,1,0,22,3.0064516129032257,0.1,2.6999999999999997,62.2,95.3,77.34516129032258,78.7,15.5,-1.1,0.9,-0.22903225806451613,-0.2,0.45000000000000007,-3.2,3,0.05161290322580643,0.1,2.3,0.223606797749979,3.3241540277189325,1.4089141315188844,1.3601470508735445,1.147740811226996,1.28780850594178,8.97677453299469,3.043745184621777,2.1845266543211,2.308780906364835,0.223606797749979,3.3241540277189325,1.417942321573294,1.3601470508735445,1.259515901905631,11.768288932020653,357.2736890060937,127.49150175211989,168.69006752597977,143.92198548510024,937.2,960.2,951.1709677419356,952,5.600000000000023,48.8,199.5,145.71935483870968,151.5,60.89999999999998,0.01,1.06,0.16806451612903225,0.05,0.065,0.51,2.37,1.1709677419354838,1.09,0.575,0.01,0.12,0.034516129032258064,0.02,0.024999999999999998,0.63,2.75,1.3851612903225807,1.31,0.45500000000000007
May_17,Summer,2017-05-01,mag-17,11.7,21.1,17.12258064516129,17.4,3.25,5.2,14.8,10.803225806451612,10.7,3.9499999999999993,16.7,27.5,23.083870967741937,23.4,4.549999999999997,0,17.3,1.5612903225806452,0.2,0.7,0,17.3,1.5451612903225806,0.1,0.7,49,89.9,66.43548387096774,64.2,14,-1,0.7,-0.05806451612903226,-0,0.6499999999999999,-2.4,1.6,-0.016129032258064505,0.4,1.3499999999999999,0.1,2.4331050121192876,0.9571704564637469,0.7615773105863908,0.8221170394641443,1.31124376167466,5.33434848669734,2.5090662103360644,2.31681513542259,1.1995119979381,0.1,2.4331050121192876,0.9489229155528168,0.7615773105863908,0.8221170394641443,9.462322208025626,360,165.4954989765595,189.46232220802565,183.52140649568463,944.3,958.7,952.1096774193549,952.7,4.550000000000068,151,282.1,237.3741935483871,247.5,43.30000000000001,0.01,0.33,0.04,0.03,0.02,0.21,2.12,1.624516129032258,1.71,0.42500000000000004,0.01,0.05,0.02129032258064516,0.02,0.019999999999999997,1.31,2.42,1.9025806451612903,1.96,0.5350000000000001
November_17,Winter,2017-11-01,nov-17,5.1,14.6,9.648387096774194,9.8,3.6500000000000004,-0.4,9.7,5.564516129032258,5.7,2.0500000000000007,8.8,20.5,14.235483870967743,14.1,3.8500000000000014,0,18.8,2.535483870967742,0.1,3.3,0,18.8,2.535483870967742,0.1,3.3,60.6,94.2,81.64838709677419,83.1,10.5,-1,0.4,-0.4290322580645161,-0.4,0.09999999999999998,-2.6,2.2,-0.06451612903225806,-0.1,1.9000000000000001,0.36055512754639896,2.6305892875931813,1.2066543955182636,1.16619037896906,1.2203087054525894,1.14616115172426,5.3702799585357,2.7580738141716643,2.2432895058572,1.9551787547528954,0.223606797749979,2.6305892875931813,1.1942457034124623,1.16619037896906,1.2744468319675002,8.74616226255523,348.11134196037204,100.71783059280789,90,122.04993016047831,932.6,961.1,950.5483870967741,949.8,6,36.4,134.5,88.99354838709678,94.1,41.099999999999994,0.01,0.65,0.13032258064516128,0.05,0.065,0.17,1.9,0.8819354838709678,0.86,0.32999999999999996,0.01,0.1,0.02903225806451613,0.02,0.025,0.38,1.97,1.020967741935484,1.01,0.3599999999999999
September_17,Summer,2017-09-01,set-17,11.3,19.8,16.006451612903227,15.2,3.0500000000000043,6.1,16.1,11.593548387096774,10.8,4.049999999999999,15.6,25.4,20.548387096774192,20.5,2.8999999999999986,0,51.3,6.548387096774194,0.2,2.3499999999999996,0,51.3,6.687096774193549,0.2,3.5999999999999996,60.7,96,77.13870967741936,77.9,9.400000000000006,-1.1,0.8,0.0032258064516129006,-0,0.4,-1.8,2.5,0.43548387096774194,0.4,1.75,0.1,2.5179356624028344,1.055414391248502,1.077032961426901,1.1943267349593114,1.31375714989505,5.80701624966127,2.4401510024487694,2.01785582035252,1.2340538132456953,0.1,2.5179356624028344,1.1038014880226954,1.2369316876852985,1.193844718719117,9.462322208025626,355.6012946450045,171.58676708441294,180,78.63360928455839,937.9,958.2,951.6548387096774,953,7,56.3,212.1,152.5258064516129,155.1,41.49999999999997,0.02,0.59,0.11709677419354839,0.05,0.135,0.11,1.75,1.2574193548387096,1.25,0.355,0.01,0.22,0.04064516129032258,0.03,0.024999999999999998,0.4,2.1,1.4487096774193549,1.46,0.44999999999999996
