data;data_inizio;data_fine;month_y;Season;associazione_ispra
2016-11-01;19/11/2016;12/12/2016;December_16;Winter;nov-16
2016-12-01;17/12/2016;12/01/2017;January_17;Winter;dic-16
2017-02-01;21/01/2017;20/02/2017;February_17;Winter;feb-17
2017-03-01;25/02/2017;27/03/2017;March_17;Winter;mar-17
2017-04-01;01/04/2017;01/05/2017;April_17;Summer;apr-17
2017-05-01;06/05/2017;05/06/2017;May_17;Summer;mag-17
2017-06-01;10/06/2017;17/07/2017;July_17;Summer;giu-17
2017-08-01;22/07/2017;28/08/2017;August_17;Summer;ago-17
2017-09-01;02/09/2017;02/10/2017;September_17;Summer;set-17
2017-11-01;21/10/2017;20/11/2017;November_17;Winter;nov-17
2017-12-01;25/11/2017;15/01/2018;December_17;Winter;dic-17
2018-01-01;20/01/2018;19/02/2018;February_18;Winter;feb-18